episode,ending_environment_step,episode_return,episode_length
946,145940,-62.0,63
947,146030,-89.0,90
948,146130,-94.0,95
949,146230,-106.0,107
950,146330,-90.0,91
951,146430,-101.0,102
952,146500,-73.0,74
953,146630,-126.0,127
954,146710,-84.0,85
955,146800,-83.0,84
956,146880,-86.0,87
957,146980,-93.0,94
958,147070,-91.0,92
959,147260,-184.0,185
960,147340,-83.0,84
961,147430,-94.0,95
962,147520,-85.0,86
963,147620,-97.0,98
964,147710,-86.0,87
965,147790,-84.0,85
966,147880,-90.0,91
967,147940,-61.0,62
968,148040,-96.0,97
969,148150,-107.0,108
970,148230,-76.0,77
971,148320,-90.0,91
972,148420,-100.0,101
973,148500,-82.0,83
974,148590,-87.0,88
975,148680,-90.0,91
976,148770,-90.0,91
977,148830,-62.0,63
978,148920,-89.0,90
979,149010,-83.0,84
980,149110,-99.0,100
981,149180,-76.0,77
982,149270,-86.0,87
983,149370,-100.0,101
984,149470,-94.0,95
985,149550,-81.0,82
986,149650,-102.0,103
987,149730,-72.0,73
988,149820,-90.0,91
989,149890,-74.0,75
990,149970,-82.0,83
991,150060,-84.0,85
992,150150,-91.0,92
993,150240,-91.0,92
994,150340,-99.0,100
995,150440,-98.0,99
996,150550,-108.0,109
997,150640,-90.0,91
998,150740,-101.0,102
999,150850,-102.0,103
1000,150940,-94.0,95
1001,151070,-130.0,131
1002,151160,-89.0,90
1003,151250,-85.0,86
1004,151330,-80.0,81
1005,151420,-87.0,88
1006,151490,-75.0,76
1007,151580,-89.0,90
1008,151660,-74.0,75
1009,151740,-75.0,76
1010,151830,-95.0,96
1011,151910,-77.0,78
1012,151990,-82.0,83
1013,152090,-96.0,97
1014,152180,-91.0,92
1015,152270,-86.0,87
1016,152340,-72.0,73
1017,152420,-80.0,81
1018,152500,-81.0,82
1019,152600,-92.0,93
1020,152690,-95.0,96
1021,152790,-92.0,93
1022,152890,-102.0,103
1023,153030,-142.0,143
1024,153100,-62.0,63
1025,153170,-70.0,71
1026,153260,-90.0,91
1027,153350,-90.0,91
1028,153450,-104.0,105
1029,153530,-76.0,77
1030,153630,-96.0,97
1031,153710,-77.0,78
1032,153770,-62.0,63
1033,153850,-80.0,81
1034,153930,-75.0,76
1035,154030,-99.0,100
1036,154120,-90.0,91
1037,154210,-91.0,92
1038,154280,-70.0,71
1039,154340,-61.0,62
1040,154430,-83.0,84
1041,154540,-116.0,117
1042,154630,-87.0,88
1043,154750,-119.0,120
1044,154830,-81.0,82
1045,154920,-85.0,86
1046,155020,-99.0,100
1047,155130,-108.0,109
1048,155190,-61.0,62
1049,155270,-83.0,84
1050,155370,-94.0,95
1051,155460,-89.0,90
1052,155530,-74.0,75
1053,155690,-153.0,154
1054,155770,-81.0,82
1055,155970,-197.0,198
1056,156060,-92.0,93
1057,156140,-75.0,76
1058,156240,-101.0,102
1059,156310,-73.0,74
1060,156430,-121.0,122
1061,156520,-89.0,90
1062,156600,-72.0,73
1063,156700,-99.0,100
1064,156780,-86.0,87
1065,156890,-103.0,104
1066,156970,-76.0,77
1067,157040,-77.0,78
1068,157120,-79.0,80
1069,157240,-111.0,112
1070,157320,-88.0,89
1071,157410,-87.0,88
1072,157500,-90.0,91
1073,157580,-74.0,75
1074,157670,-90.0,91
1075,157760,-90.0,91
1076,157860,-94.0,95
1077,157940,-80.0,81
1078,158020,-87.0,88
1079,158100,-78.0,79
1080,158180,-79.0,80
1081,158270,-87.0,88
1082,158330,-61.0,62
1083,158440,-105.0,106
1084,158500,-62.0,63
1085,158590,-86.0,87
1086,158690,-96.0,97
1087,158780,-88.0,89
1088,158840,-61.0,62
1089,158940,-98.0,99
1090,159020,-83.0,84
1091,159110,-84.0,85
1092,159190,-80.0,81
1093,159260,-70.0,71
1094,159350,-87.0,88
1095,159460,-112.0,113
1096,159550,-91.0,92
1097,159640,-86.0,87
1098,159720,-85.0,86
1099,159820,-96.0,97
1100,159910,-93.0,94
1101,160000,-89.0,90
1102,160090,-85.0,86
1103,160170,-80.0,81
1104,160260,-85.0,86
1105,160350,-93.0,94
1106,160440,-89.0,90
1107,160530,-90.0,91
1108,160620,-90.0,91
1109,160710,-89.0,90
1110,160790,-75.0,76
1111,160880,-92.0,93
1112,160960,-76.0,77
1113,161050,-86.0,87
1114,161130,-79.0,80
1115,161210,-84.0,85
1116,161310,-101.0,102
1117,161400,-84.0,85
1118,161480,-85.0,86
1119,161570,-85.0,86
1120,161660,-92.0,93
1121,161780,-112.0,113
1122,161860,-85.0,86
1123,161940,-77.0,78
1124,162040,-95.0,96
1125,162120,-84.0,85
1126,162210,-85.0,86
1127,162300,-89.0,90
1128,162380,-78.0,79
1129,162480,-105.0,106
1130,162560,-74.0,75
1131,162650,-89.0,90
1132,162730,-85.0,86
1133,162810,-75.0,76
1134,162890,-77.0,78
1135,162990,-100.0,101
1136,163090,-96.0,97
1137,163170,-82.0,83
1138,163260,-94.0,95
1139,163360,-97.0,98
1140,163450,-84.0,85
1141,163530,-85.0,86
1142,163620,-84.0,85
1143,163710,-91.0,92
